PAIS_RESIDENCIA#es,PAIS_RESIDENCIA_CODE,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,NIVEL_INGRESOS#es,NIVEL_INGRESOS_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE,NOTAS_OBSERVACION,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Alemania,DE,Canarias,ES70,2020 Tercer trimestre,2020-Q3,Total,_T,Turistas,TURISTAS,130987,,,,
Alemania,DE,Canarias,ES70,2020 Cuarto trimestre,2020-Q4,Total,_T,Turistas,TURISTAS,127636,,,,
Alemania,DE,Canarias,ES70,2020,2020,Total,_T,Turistas,TURISTAS,810881,,,,
Alemania,DE,Canarias,ES70,2021 Primer trimestre,2021-Q1,Total,_T,Turistas,TURISTAS,85148,,,,
Alemania,DE,Canarias,ES70,2021 Segundo trimestre,2021-Q2,Total,_T,Turistas,TURISTAS,139855,,,,
Alemania,DE,Canarias,ES70,2021 Tercer trimestre,2021-Q3,Total,_T,Turistas,TURISTAS,315836,,,,
Alemania,DE,Canarias,ES70,2021 Cuarto trimestre,2021-Q4,Total,_T,Turistas,TURISTAS,612061,,,,
Alemania,DE,Canarias,ES70,2021,2021,Total,_T,Turistas,TURISTAS,1152900,,,,
Alemania,DE,Canarias,ES70,2022 Primer trimestre,2022-Q1,Total,_T,Turistas,TURISTAS,486069,,,,
Alemania,DE,Canarias,ES70,2022 Segundo trimestre,2022-Q2,Total,_T,Turistas,TURISTAS,477895,,,,
Alemania,DE,Canarias,ES70,2022 Tercer trimestre,2022-Q3,Total,_T,Turistas,TURISTAS,432674,,,,
Alemania,DE,Canarias,ES70,2022 Cuarto trimestre,2022-Q4,Total,_T,Turistas,TURISTAS,658032,,,,
Alemania,DE,Canarias,ES70,2022,2022,Total,_T,Turistas,TURISTAS,2054670,,,,
Alemania,DE,Canarias,ES70,2023 Primer trimestre,2023-Q1,Total,_T,Turistas,TURISTAS,665000,,,,
Alemania,DE,Canarias,ES70,2023 Segundo trimestre,2023-Q2,Total,_T,Turistas,TURISTAS,477212,,,,
Alemania,DE,Canarias,ES70,2023 Tercer trimestre,2023-Q3,Total,_T,Turistas,TURISTAS,418014,,,,
Alemania,DE,Canarias,ES70,2023 Cuarto trimestre,2023-Q4,Total,_T,Turistas,TURISTAS,734248,,,,
Alemania,DE,Canarias,ES70,2023,2023,Total,_T,Turistas,TURISTAS,2294474,,,,
Alemania,DE,Canarias,ES70,2024 Primer trimestre,2024-Q1,Total,_T,Turistas,TURISTAS,788691,,,,
Alemania,DE,Canarias,ES70,2024 Segundo trimestre,2024-Q2,Total,_T,Turistas,TURISTAS,480623,,,,
Alemania,DE,Canarias,ES70,2024 Tercer trimestre,2024-Q3,Total,_T,Turistas,TURISTAS,438740,,,,
Alemania,DE,Canarias,ES70,2024 Cuarto trimestre,2024-Q4,Total,_T,Turistas,TURISTAS,834155,,,,
Alemania,DE,Canarias,ES70,2024,2024,Total,_T,Turistas,TURISTAS,2542209,,,,
Alemania,DE,Canarias,ES70,2025 Primer trimestre,2025-Q1,Total,_T,Turistas,TURISTAS,786617,,,,
Alemania,DE,Canarias,ES70,2025 Segundo trimestre,2025-Q2,Total,_T,Turistas,TURISTAS,535603,,,,
Alemania,DE,Canarias,ES70,2025 Tercer trimestre,2025-Q3,Total,_T,Turistas,TURISTAS,456175,,,,
Alemania,DE,Canarias,ES70,2025 Cuarto trimestre,2025-Q4,Total,_T,Turistas,TURISTAS,801366,,,,
Alemania,DE,Canarias,ES70,2025,2025,Total,_T,Turistas,TURISTAS,2579761,,,,
Total,_T,Canarias,ES70,2018 Primer trimestre,2018-Q1,Menos de 25.000€,EUR_LT25000,Turistas,TURISTAS,590368,,,,
Total,_T,Canarias,ES70,2018 Segundo trimestre,2018-Q2,Menos de 25.000€,EUR_LT25000,Turistas,TURISTAS,546094,,,,
Total,_T,Canarias,ES70,2018 Tercer trimestre,2018-Q3,Menos de 25.000€,EUR_LT25000,Turistas,TURISTAS,670985,,,,
Total,_T,Canarias,ES70,2018 Cuarto trimestre,2018-Q4,Menos de 25.000€,EUR_LT25000,Turistas,TURISTAS,506616,,,,
Total,_T,Canarias,ES70,2018,2018,Menos de 25.000€,EUR_LT25000,Turistas,TURISTAS,2314064,,,,
Total,_T,Canarias,ES70,2019 Primer trimestre,2019-Q1,Menos de 25.000€,EUR_LT25000,Turistas,TURISTAS,626116,,,,
Total,_T,Canarias,ES70,2019 Segundo trimestre,2019-Q2,Menos de 25.000€,EUR_LT25000,Turistas,TURISTAS,563481,,,,
